Date;SH;Pays;Poids;Valeur;DTE;CodeICSCH;ICSCH
01/07/2018;49119910;FRP;380;1193;1971;6;Autre secteur
01/07/2018;49119990;FRP;1;17700;260;2;Commerce
01/07/2018;49119990;FRP;21;56890;780;2;Commerce
01/07/2018;56039410;FRP;7;47492;650;2;Commerce
01/07/2018;58079000;FRP;1;5520;130;2;Commerce
01/07/2018;60019900;FRP;30;123430;709;2;Commerce
01/07/2018;61042200;FRP;2;8680;130;2;Commerce
01/07/2018;61044200;FRP;9;38220;390;2;Commerce
01/07/2018;61051000;FRP;73;183980;1584;2;Commerce
01/07/2018;61071200;FRP;3;9660;260;2;Commerce
01/07/2018;61091000;FRP;222;616195;4916;2;Commerce
01/07/2018;61099000;FRP;1;7000;260;2;Commerce
01/07/2018;61102000;FRP;22;52869;520;2;Commerce
01/07/2018;61112000;FRP;20;71580;910;2;Commerce
01/07/2018;61171000;FRP;9;27790;390;2;Commerce
01/07/2018;61178000;FRP;2;11928;520;2;Commerce
01/07/2018;62041200;INP;0;51;130;2;Commerce
01/07/2018;62114220;FRP;92;319582;2322;2;Commerce
01/07/2018;62114320;NCP;36;417250;263;1;Industrie
01/07/2018;62114320;WFP;465;4467690;2819;1;Industrie
01/07/2018;42022200;FRP;1;8800;130;2;Commerce
01/07/2018;42022200;FRP;50;156920;3391;2;Commerce
01/07/2018;62149000;FRP;1;16410;260;2;Commerce
01/07/2018;63013010;FRP;1;4000;130;2;Commerce
01/07/2018;63019010;FRP;3;11500;390;2;Commerce
01/07/2018;63023110;FRP;0;2000;130;2;Commerce
01/07/2018;63025110;FRP;1;10500;130;2;Commerce
01/07/2018;63029100;FRP;12;40797;650;2;Commerce
01/07/2018;63109000;FRP;0;2400;130;2;Commerce
01/07/2018;64022000;FRP;22;47569;301;2;Commerce
01/07/2018;65050000;FRP;48;116903;910;2;Commerce
01/07/2018;63069000;FRP;1;25750;130;2;Commerce
01/07/2018;63079000;FRP;3;16180;780;2;Commerce
01/07/2018;67029090;FRP;12;59025;780;2;Commerce
01/07/2018;68159900;FRP;26;137000;943;2;Commerce
01/07/2018;70133700;FRP;25;73564;2080;2;Commerce
01/07/2018;70134900;FRP;2;2200;130;2;Commerce
01/07/2018;70139900;FRP;1;2600;130;2;Commerce
01/07/2018;70200000;FRP;4;22536;260;2;Commerce
01/07/2018;71012120;HKP;41;6145950;2050922;6;Autre secteur
01/07/2018;71012120;HKP;2;447488;124430;2;Commerce
01/07/2018;71012120;HKP;2;200000;111730;2;Commerce
01/07/2018;71012120;JPP;1;872303;52140;6;Autre secteur
01/07/2018;71012120;JPP;0;391409;12290;6;Autre secteur
01/07/2018;71012120;NCP;0;159910;14280;6;Autre secteur
01/07/2018;71012190;BEP;2;835100;68630;6;Autre secteur
01/07/2018;71012190;CNP;48;31391923;1524435;6;Autre secteur
01/07/2018;71012190;FRP;0;50000;16030;2;Commerce
01/07/2018;71012190;GBP;0;200000;12630;2;Commerce
01/07/2018;71012190;HKP;689;402646247;21150887;6;Autre secteur
01/07/2018;71012190;HKP;120;107946884;4409922;2;Commerce
01/07/2018;71012190;HKP;21;1650000;569191;2;Commerce
01/07/2018;71012190;HKP;245;61821600;7470840;2;Commerce
01/07/2018;71012190;HKP;116;133289205;3546995;6;Autre secteur
01/07/2018;71012190;ITP;2;596650;53810;6;Autre secteur
01/07/2018;71012190;JPP;146;127033682;5180409;6;Autre secteur
01/07/2018;71012190;JPP;129;90114276;4640258;2;Commerce
01/07/2018;71012190;JPP;137;111130506;3945126;2;Commerce
01/07/2018;71012190;JPP;107;84331600;3614048;2;Commerce
01/07/2018;71012190;JPP;250;173361688;7751879;6;Autre secteur
01/07/2018;71012190;NCP;1;1002000;42365;6;Autre secteur
01/07/2018;71012190;NCP;1;2279500;76730;2;Commerce
01/07/2018;71012190;NCP;2;2329955;85330;6;Autre secteur
01/07/2018;71012190;USP;5;1074720;145210;6;Autre secteur
01/07/2018;71012190;USP;2;898030;71015;2;Commerce
01/07/2018;71012190;USP;1;5605849;30930;6;Autre secteur
01/07/2018;71012220;NCP;0;89152;7880;1;Industrie
01/07/2018;71012290;HKP;3;668000;66930;6;Autre secteur
01/07/2018;71131100;FRP;1;90000;130;2;Commerce
01/07/2018;71131100;FRP;1;210105;780;2;Commerce
01/07/2018;83061000;FRP;0;3200;130;2;Commerce
01/07/2018;71161000;FRP;8;719194;2730;2;Commerce
01/07/2018;71161000;FRP;0;1945938;14360;2;Commerce
01/07/2018;71161000;GBP;1;65000;130;2;Commerce
01/07/2018;71161000;NCP;1;679422;31580;1;Industrie
01/07/2018;71161000;USP;6;2084940;170;1;Industrie
01/07/2018;71162000;FRP;0;19125;390;2;Commerce
01/07/2018;71179090;FRP;0;19600;130;2;Commerce
01/07/2018;71179090;FRP;40;240317;2999;2;Commerce
01/07/2018;72044900;AUP;154445;4982537;85;1;Industrie
01/07/2018;72044900;NZP;187030;850000;170;1;Industrie
01/07/2018;73110000;NCP;6230;2986920;85;1;Industrie
01/07/2018;69120000;FRP;48;164376;1834;2;Commerce
01/07/2018;71131900;FRP;14;1579789;2600;2;Commerce
01/07/2018;71131900;SGP;0;145600;130;2;Commerce
01/07/2018;71132000;FRP;1;38000;260;2;Commerce
01/07/2018;73269090;FRP;43;201374;2735;2;Commerce
01/07/2018;85051900;FRP;67;256766;3187;2;Commerce
01/07/2018;85238000;FRP;3;21700;390;2;Commerce
01/07/2018;90041090;FRP;0;8250;130;2;Commerce
01/07/2018;90069900;FRP;1;8800;260;2;Commerce
01/07/2018;76020000;NZP;14650;2442917;85;1;Industrie
01/07/2018;76020000;NZP;55000;2350000;340;2;Commerce
01/07/2018;89039999;CLP;12;300000;144;6;Autre secteur
01/07/2018;89039999;USP;1170;9968690;85;1;Industrie
01/07/2018;90230000;USP;26;49610;214;6;Autre secteur
01/08/2018;3011900;HKP;2721;2742897;14036;6;Autre secteur
01/08/2018;3011900;TWP;540;657999;2769;6;Autre secteur
